Date,Close ,Volume
03/28/2024,175.79,"77,654,800"
03/27/2024,179.83,"81,804,000"
03/26/2024,177.67,"113,186,200"
03/25/2024,172.63,"74,228,600"
03/22/2024,170.83,"75,454,700"
03/21/2024,172.82,"73,178,000"
03/20/2024,175.66,"83,846,700"
03/19/2024,171.32,"77,271,400"
03/18/2024,173.8,"108,214,400"
03/15/2024,163.57,"96,971,900"
03/14/2024,162.5,"126,325,700"
03/13/2024,169.48,"106,524,500"
03/12/2024,177.54,"87,391,700"
03/11/2024,177.77,"85,391,500"
03/08/2024,175.34,"85,315,300"
03/07/2024,178.65,"102,129,000"
03/06/2024,176.54,"107,920,900"
03/05/2024,180.74,"119,660,800"
03/04/2024,188.14,"134,334,900"
03/01/2024,202.64,"82,099,200"
02/29/2024,201.88,"85,907,000"
02/28/2024,202.04,"99,806,200"
02/27/2024,199.73,"108,645,400"
02/26/2024,199.4,"111,747,100"
02/23/2024,191.97,"78,841,900"
02/22/2024,197.41,"92,739,500"
02/21/2024,194.77,"103,844,000"
02/20/2024,193.76,"104,545,800"
02/16/2024,199.95,"111,173,600"
02/15/2024,200.45,"120,831,800"
02/14/2024,188.71,"81,203,000"
02/13/2024,184.02,"86,759,500"
02/12/2024,188.13,"95,498,600"
02/09/2024,193.57,"84,476,300"
02/08/2024,189.56,"83,034,000"
02/07/2024,187.58,"111,535,200"
02/06/2024,185.1,"122,676,000"
02/05/2024,181.06,"134,294,400"
02/02/2024,187.91,"110,505,100"
02/01/2024,188.86,"91,843,300"
01/31/2024,187.29,"103,221,400"
01/30/2024,191.59,"109,982,300"
01/29/2024,190.93,"125,013,100"
01/26/2024,183.25,"107,343,200"
01/25/2024,182.63,"198,076,800"
01/24/2024,207.83,"123,369,900"
01/23/2024,209.14,"106,605,900"
01/22/2024,208.8,"117,952,500"
01/19/2024,212.19,"102,095,800"
01/18/2024,211.88,"108,595,400"
01/17/2024,215.55,"103,164,400"
01/16/2024,219.91,"115,355,000"
01/12/2024,218.89,"122,889,000"
01/11/2024,227.22,"105,873,600"
01/10/2024,233.94,"91,628,500"
